"Date","Price","Open","High","Low","Vol.","Change %"
"06/02/2023","199,500","198,500","199,800","198,100","415.11K","1.01%"
"06/01/2023","197,500","199,800","199,800","196,300","788.43K","-1.25%"
"05/31/2023","200,000","201,000","203,000","200,000","0.03K","-0.25%"
"05/30/2023","200,500","206,500","206,500","200,000","0.78K","-2.43%"
"05/29/2023","205,500","205,500","205,500","205,500","","0.00%"
"05/26/2023","205,500","204,500","205,500","201,000","594.30K","0.98%"
"05/25/2023","203,500","206,000","206,500","203,000","525.84K","-1.93%"
"05/24/2023","207,500","206,000","208,000","205,500","303.68K","0.00%"
"05/23/2023","207,500","209,000","209,000","207,000","355.53K","0.00%"
"05/22/2023","207,500","206,000","208,500","204,500","467.43K","0.97%"
"05/21/2023","205,500","205,500","205,500","205,500","","0.00%"
"05/19/2023","205,500","206,000","207,500","204,000","526.48K","-0.48%"
"05/18/2023","206,500","206,500","207,000","205,000","0.11K","0.98%"
"05/17/2023","204,500","202,500","205,500","202,500","0.00K","0.99%"
"05/16/2023","202,500","206,500","207,500","201,000","871.57K","-2.64%"
"05/15/2023","208,000","207,000","209,000","204,000","591.57K","-0.24%"
"05/14/2023","208,500","208,500","208,500","208,500","","0.00%"
"05/12/2023","208,500","207,000","209,500","205,500","538.66K","0.24%"
"05/11/2023","208,000","210,500","211,000","208,000","0.13K","-0.95%"
"05/10/2023","210,000","206,000","211,000","205,000","1.47M","2.44%"
"05/09/2023","205,000","202,000","205,500","199,900","702.22K","1.23%"
"05/08/2023","202,500","201,000","203,000","200,000","0.18K","1.66%"
"05/07/2023","199,200","199,200","199,200","199,200","","0.00%"
"05/04/2023","199,200","200,000","201,000","197,400","471.52K","-0.90%"
"05/03/2023","201,000","200,500","202,000","198,900","0.02K","-0.25%"
"05/02/2023","201,500","198,500","202,000","197,700","570.53K","2.03%"
"05/01/2023","197,500","197,500","197,500","197,500","","0.00%"
"04/28/2023","197,500","203,000","203,500","196,200","1.05M","-2.23%"
"04/27/2023","202,000","201,500","205,000","200,500","973.03K","0.25%"
"04/26/2023","201,500","205,500","207,500","200,000","2.04K","0.25%"
"04/25/2023","201,000","192,800","201,500","191,200","1.11K","4.74%"
"04/24/2023","191,900","190,600","193,100","190,600","433.47K","0.79%"
"04/23/2023","190,400","190,400","190,400","190,400","","0.00%"
"04/21/2023","190,400","191,100","191,800","188,300","452.50K","-1.09%"
"04/20/2023","192,500","193,000","194,100","191,400","0.04K","-0.57%"
"04/19/2023","193,600","191,500","194,200","190,300","0.05K","1.15%"
"04/18/2023","191,400","192,700","193,000","188,200","960.04K","-1.85%"
"04/17/2023","195,000","195,300","196,100","193,800","0.09K","-0.56%"
"04/16/2023","196,100","196,100","196,100","196,100","","0.00%"
"04/14/2023","196,100","199,500","199,700","196,000","667.02K","-1.41%"
"04/13/2023","198,900","199,000","199,900","196,200","820.36K","0.35%"
"04/12/2023","198,200","194,800","199,500","194,600","1.47K","3.18%"
"04/11/2023","192,100","186,600","192,400","185,100","1.06M","3.34%"
"04/10/2023","185,900","186,000","188,500","184,200","479.26K","0.43%"
"04/09/2023","185,100","185,100","185,100","185,100","","0.00%"
"04/07/2023","185,100","185,400","186,500","184,600","434.97K","0.00%"
"04/06/2023","185,100","186,900","189,400","184,700","666.18K","-0.86%"
"04/05/2023","186,700","184,900","187,200","184,000","0.14K","1.58%"
"04/04/2023","183,800","184,000","186,500","183,300","0.18K","0.11%"
"04/03/2023","183,600","184,600","185,500","182,300","529.88K","-0.49%"
"04/02/2023","184,500","184,500","184,500","184,500","","0.00%"
"03/31/2023","184,500","182,000","184,900","181,900","655.92K","1.82%"
"03/30/2023","181,200","179,200","181,900","178,800","0.04K","0.44%"
"03/29/2023","180,400","177,000","180,700","176,500","0.10K","1.86%"
"03/28/2023","177,100","177,000","178,000","175,800","0.32K","0.57%"
"03/27/2023","176,100","177,700","177,700","174,800","0.41K","-0.90%"
"03/26/2023","177,700","177,700","177,700","177,700","","0.00%"
"03/24/2023","177,700","180,600","180,600","175,300","648.26K","-1.55%"
"03/23/2023","180,500","179,300","182,400","178,700","589.57K","0.11%"
"03/22/2023","180,300","177,100","180,500","176,700","0.03K","2.56%"
"03/21/2023","175,800","176,000","176,900","174,800","0.04K","0.40%"
"03/20/2023","175,100","176,500","177,000","174,800","365.35K","-0.85%"
"03/19/2023","176,600","176,600","176,600","176,600","","0.00%"
"03/17/2023","176,600","175,200","176,600","173,200","506.64K","1.49%"
"03/16/2023","174,000","172,800","174,800","171,800","0.00K","-0.17%"
